text,label_class,label
state是哪个国家的,位置,1
state属于哪个国家,位置,1
state位于哪里,位置,1
state位于哪个位置,位置,1
city是哪个国家的,位置,1
city属于哪个国家,位置,1
city属于哪个州,位置,1
city是哪个州的,位置,1
city在哪里,位置,1
city在哪,位置,1
city位于哪里,位置,1
city位于哪个位置,位置,1
region在哪儿,位置,1
region在哪里,位置,1
region属于哪个市,位置,1
region是哪个市的,位置,1
region属于哪个国家,位置,1
region是哪个国家的,位置,1
region属于哪个州,位置,1
region是哪个州的,位置,1
region位于哪里,位置,1
region位于哪个位置,位置,1
locale在哪,位置,1
locale在哪里,位置,1
locale地址是什么,位置,1
locale是哪个区的,位置,1
locale属于哪个区,位置,1
locale属于哪个市,位置,1
locale是哪个市的,位置,1
locale属于哪个国家,位置,1
locale是哪个国家的,位置,1
locale属于哪个州,位置,1
locale是哪个州的,位置,1
locale位于哪里,位置,1
locale位于哪个位置,位置,1
site在哪,位置,1
site在哪里,位置,1
site地址是什么,位置,1
site是哪个区的,位置,1
site属于哪个区,位置,1
site属于哪个市,位置,1
site是哪个市的,位置,1
site属于哪个国家,位置,1
site是哪个国家的,位置,1
site属于哪个州,位置,1
site是哪个州的,位置,1
site位于哪里,位置,1
site位于哪个位置,位置,1
country和state是什么关系,关系,2
state和country有啥联系,关系,2
country还有state之间是什么关系,关系,2
state与country间有什么关系,关系,2
state还有city是什么关系,关系,2
city和state有什么联系,关系,2
state和city之间是啥关系,关系,2
city还有state间是有什么关系,关系,2
city与region是什么联系,关系,2
region和city有啥关系,关系,2
city和region之间是啥关系,关系,2
region还有city间有什么关系,关系,2
locale和region是什么关系,关系,2
region与locale有什么关系,关系,2
locale还有region之间是什么联系,关系,2
region和locale间有什么关系,关系,2
site与locale是什么关系,关系,2
locale和site有啥关系,关系,2
site还有locale之间是什么关系,关系,2
locale与site间有什么联系,关系,2
region和country间有关,关系,2
locale还有state是有什么联系,关系,2
region和state间有什么关系,关系,2
locale与country之间有关,关系,2
region还有site间有什么联系,关系,2
site和region间有啥关系,关系,2
country和site有什么关系,关系,2
site与state之间是什么联系,关系,2
locale还有country间有啥关系,关系,2
state和site之间是啥联系,关系,2
country与locale有关,关系,2
country还有site间是啥联系,关系,2
state和locale间有关,关系,2
region还有site有关,关系,2
site和region之间是啥联系,关系,2
site与site之间是有什么关系,关系,2
site还有site有什么关系,关系,2
site和site之间有关,关系,2
site与site间有什么联系,关系,2
site和site间是啥关系,关系,2
site还有site之间有啥关系,关系,2
site是site的什么,关系,2
site是site的啥,关系,2
region是city的啥,关系,2
city是region的什么,关系,2
locale是region的什么,关系,2
region是locale的什么,关系,2
country是state的啥,关系,2
state是country的什么,关系,2
state是city的什么,关系,2
city是state的啥,关系,2
site是city的什么,关系,2
city是site的啥,关系,2
site是locale的什么,关系,2
locale是site的啥,关系,2
locale是city的什么,关系,2
city是locale的啥,关系,2
state是site的什么,关系,2
site是state的啥,关系,2
country是region的啥,关系,2
region是country的什么,关系,2
state是region的啥,关系,2
region是state的什么,关系,2
site是region的啥,关系,2
region是site的什么,关系,2
country是locale的啥,关系,2
locale是country的什么,关系,2
country是site的啥,关系,2
site是country的什么,关系,2
如何前往locale,到达,3
如何到locale,到达,3
如何前往site,到达,3
如何到site,到达,3
怎么到达locale,到达,3
怎么去locale,到达,3
怎么到locale,到达,3
怎么去site,到达,3
怎么到site,到达,3
怎么到达site,到达,3
我该怎样去site,到达,3
我该怎样去locale,到达,3
我该怎样到site,到达,3
我该怎样到locale,到达,3
locale怎么去,到达,3
locale怎么到,到达,3
site怎么走,到达,3
site怎么到达,到达,3
